,latitude,longitude,total_casualties,borough
0,40.808768928329954,-73.94758820774172,32.236097803123876,MANHATTAN
1,40.7553302708138,-73.98522406435956,28.878645806959746,MANHATTAN
2,40.71588282978604,-73.9850807736354,30.664224025183707,MANHATTAN
3,40.855212054511284,-73.93113255451128,25.82588866637461,MANHATTAN
4,40.790751063985624,-73.9428953088723,24.42692401687075,MANHATTAN
5,40.71557909090909,-74.01315445454546,19.64864158829676,MANHATTAN
6,40.7784589548951,-73.9604700909091,24.48562971944559,MANHATTAN
7,40.73191910714286,-74.00014998214286,20.37961282516636,MANHATTAN
8,40.824861275584794,-73.9479493501462,19.87870438123113,MANHATTAN
9,40.80289551992482,-73.96290590827067,16.47043254688445,MANHATTAN
10,40.738474014490414,-73.98065677337857,20.469229468975918,MANHATTAN
11,40.777946441414144,-73.98137146489898,30.96634447927551,MANHATTAN
12,40.75876534524578,-73.97601796248848,29.841833806443603,MANHATTAN
13,40.74555416746843,-73.99158406549927,27.27526650621024,MANHATTAN
14,40.826031533101045,-73.93734763937283,38.33875902671035,MANHATTAN
15,40.76845965621267,-73.9905527416368,25.100480300471027,MANHATTAN
16,40.72053870578898,-74.00190977738562,21.74473954472421,MANHATTAN
17,40.86479564214967,-73.92330368451944,34.72334575100564,MANHATTAN
18,40.8372763332981,-73.94129828065076,25.32803853165825,MANHATTAN
19,40.72741352162163,-73.98572505234233,32.248484021680476,MANHATTAN
20,40.79942963804233,-73.94745259404762,25.707466255978762,MANHATTAN
21,40.76222214285714,-73.96012244155844,23.223495160314574,MANHATTAN
22,40.794664014676115,-73.96985712297571,12.733338859416444,MANHATTAN
23,40.741493611577965,-74.00336774603176,20.628660606588156,MANHATTAN
24,40.802910535344516,-73.93813470889748,30.68039237028141,MANHATTAN
25,40.8155473977208,-73.95578110270655,25.1956417624521,MANHATTAN
26,40.7580170123394,-73.99566946726196,24.60358643992028,MANHATTAN
27,40.81541645313433,-73.93866324477612,23.08030012771392,MANHATTAN
28,40.70641081325731,-74.01319843264433,15.339406909448499,MANHATTAN
29,40.71476485273748,-73.99549508392786,23.216627698848907,MANHATTAN
30,40.80252123873874,-73.95468860161631,27.498968100927602,MANHATTAN
31,40.774563462931035,-73.95273207442528,22.327556300648368,MANHATTAN
32,40.75790802901638,-73.96720676778885,28.652390623612728,MANHATTAN
33,40.724041157933534,-73.9787931277732,22.629555346440252,MANHATTAN
34,40.73197915,-73.99026334999999,27.236889367816087,MANHATTAN
35,40.7113606982906,-74.00719495,18.203996442604577,MANHATTAN
36,40.84746386025641,-73.93653465128205,22.301189669293112,MANHATTAN
37,40.73813716410818,-73.99171806871345,32.35524716723788,MANHATTAN
38,40.783776797697946,-73.95017037439513,23.19982458698216,MANHATTAN
39,40.768128049767235,-73.96084223897708,18.805795019157085,MANHATTAN
40,40.735124,-74.00698067307692,25.423052362707534,MANHATTAN
41,40.81492304918033,-73.94543442622951,30.583235924410673,MANHATTAN
42,40.78589524810246,-73.97475662903226,31.58780725860978,MANHATTAN
43,40.747520002953124,-73.97472303959026,41.03391619555412,MANHATTAN
44,40.749939802325585,-74.00325723255814,24.433739012846512,MANHATTAN
45,40.7227248482093,-73.99393497990734,31.851041574289898,MANHATTAN
46,40.72481444105337,-74.00720602720614,24.373164320565742,MANHATTAN
47,40.87106284615385,-73.91589276923077,27.61936339522546,MANHATTAN
48,40.79634121308577,-73.93522168125551,22.14444419037165,MANHATTAN
49,40.76585647082177,-73.98240238951973,24.23064393994297,MANHATTAN
